idx,cluster,is_noise,probability,doc_id,period,year,x_2d,y_2d,text_preview
0,38,False,0.6069,aleksandrov_1947,1947-1953,1947,-0.438,0.3203,"DjVu БиографияIСталин (Джугашвили), Иосиф Виссарионович, родился 21 декабря 1879 года в городе Гори, Тифлисской губернии. Отец его - Виссарион Иванови"
1,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.0815,-0.1052,Осенью 1888 года Сталин поступил в Горийское духовное училище. В 1894 году Сталин окончил училище и поступил в том же году в Тифлисскую православную д
2,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-0.8445,-0.8919,Развитие промышленного капитализма сопровождалось ростом рабочего движения. В 90-х годах в Закавказье вели революционную работу сосланные туда русские
3,6,False,0.7775,aleksandrov_1947,1947-1953,1947,-3.6844,-1.2186,"Пятнадцатилетний Сталин становится революционером.«В революционное движение, - говорит Сталин, - я вступил с 15-летнего возраста, когда я связался с п"
4,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.5497,-0.49,В 1896 - 1897 годах Сталин стоит во главе марксистских кружков семинарии. В августе 1898 года он и формально вступает в Тифлисскую организацию Российс
5,6,False,1.0,aleksandrov_1947,1947-1953,1947,-3.7566,-1.1703,"Сталин много и упорно работает над собой. Он изучает «Капитал» Маркса, «Манифест коммунистической партии» и Другие работы Маркса и Энгельса, знакомитс"
6,18,False,0.8575,aleksandrov_1947,1947-1953,1947,-2.9152,0.1385,"Круг теоретических запросов Сталина чрезвычайно широк - он изучает философию, политическую экономию, историю, естественные науки, читает классиков худ"
7,6,False,1.0,aleksandrov_1947,1947-1953,1947,-3.8753,-1.3369,"Сталин ведет в этот период интенсивную пропагандистскую работу в рабочих кружках, участвует на нелегальных рабочих собраниях, пишет листовки, организу"
8,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.4088,-0.2479,"В семинарии, где была налажена строгая слежка за «подозрительными», начинают догадываться о нелегальной революционной работе Сталина. 29 мая 1899 года"
9,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.6675,-0.6588,Уже в то время Сталин - один из самых энергичных и видных работников тифлисской социал-демократической организации. «В период 1898 - 1900 гг. сложилас
10,17,False,1.0,aleksandrov_1947,1947-1953,1947,-1.7064,0.3406,"Новую тактику встречает в штыки оппортунистическое большинство «Месаме-даси», которое склонялось к «экономизму», чуралось революционных методов, было "
11,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.552,-0.7643,"В переходе тифлисских социал-демократов к новым методам работы выдающуюся роль сыграл Виктор Курнатовский - образованный марксист, стойкий последовате"
12,6,False,1.0,aleksandrov_1947,1947-1953,1947,-3.9072,-1.2805,"Когда с декабря 1900 года начала выходить ленинская «Искра», Сталин целиком стал на ее позиции. Сталин сразу же увидел в Ленине создателя настоящей ма"
13,13,False,0.9595,aleksandrov_1947,1947-1953,1947,-2.85,0.0388,Сталин проникся безграничной верой в ленинский революционный гений и пошел по пути Ленина. Он никогда не сворачивал с этого пути и после смерти Ленина
14,19,False,0.7713,aleksandrov_1947,1947-1953,1947,-1.9783,0.4896,Сталин - организатор и руководитель демонстрации. Эту демонстрацию ленинская «Искра» оценила как событие исторически-знаменательное для всего Кавказа;
15,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-1.5565,-0.8407,Так в эти годы под руководством революционного меньшинства «Месаме-даси» во главе со Сталиным был осуществлен переход рабочего движения Грузии от узко
16,38,False,1.0,aleksandrov_1947,1947-1953,1947,-1.4315,-0.3615,"Встревоженное ростом революционной борьбы закавказского пролетариата, царское правительство усиливает репрессии, рассчитывая этим путем остановить дви"
17,38,False,0.6401,aleksandrov_1947,1947-1953,1947,-1.4062,-0.552,Сатрапы царя были бессильны перед нараставшим революционным движением. С сентября 1901 года по инициативе Сталина и Кецховели стала выходить «Брдзола»
18,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.3134,0.2354,"Передовая первого номера «Брдзолы» (сентябрь 1901 г.) под названием «От редакции» была написана Сталиным. Определяя задачи газеты, Сталин писал: «Груз"
19,18,False,1.0,aleksandrov_1947,1947-1953,1947,-2.3535,0.3288,"Сталин указывал в передовой, что газета должна возглавлять рабочее движение, стать возможно ближе к рабочей массе, иметь возможность постоянно влиять "
20,-1,True,0.0,aleksandrov_1947,1947-1953,1947,-2.5346,0.547,В следующем номере «Брдзолы» (ноябрь - декабрь 1901 г.) была опубликована важная статья Сталина «Российская социал-демократическая партия и ее ближайш
