idx,doc_id,period,year,paragraph_idx,segment_idx,char_count,word_count,filter_score
0,bekmakhanov_1977,1954–1984,1977,13,1,500,59,2
1,bekmakhanov_1977,1954–1984,1977,15,0,486,60,2
2,bekmakhanov_1977,1954–1984,1977,30,1,399,50,2
3,bekmakhanov_1977,1954–1984,1977,39,0,326,44,2
4,bekmakhanov_1977,1954–1984,1977,39,1,291,41,2
5,bekmakhanov_1977,1954–1984,1977,64,0,348,49,2
6,bekmakhanov_1977,1954–1984,1977,105,0,333,50,2
7,bekmakhanov_1977,1954–1984,1977,114,0,431,56,2
8,bekmakhanov_1977,1954–1984,1977,160,1,308,43,2
9,bekmakhanov_1977,1954–1984,1977,163,1,234,30,2
10,bekmakhanov_1977,1954–1984,1977,165,0,488,66,2
11,bekmakhanov_1977,1954–1984,1977,232,0,573,59,3
12,bekmakhanov_1977,1954–1984,1977,247,0,798,101,3
13,bekmakhanov_1977,1954–1984,1977,252,0,737,94,2
14,bekmakhanov_1977,1954–1984,1977,256,0,751,93,3
15,bekmakhanov_1977,1954–1984,1977,262,0,753,92,4
16,bekmakhanov_1977,1954–1984,1977,265,0,491,61,3
17,bekmakhanov_1977,1954–1984,1977,266,0,268,40,2
18,bekmakhanov_1977,1954–1984,1977,282,1,402,43,4
19,bekmakhanov_1977,1954–1984,1977,283,0,846,101,4
20,bekmakhanov_1977,1954–1984,1977,294,0,616,70,2
21,bekmakhanov_1977,1954–1984,1977,301,0,419,53,2
22,bekmakhanov_1977,1954–1984,1977,318,0,452,58,2
23,bekmakhanov_1977,1954–1984,1977,326,0,526,65,3
24,bekmakhanov_1977,1954–1984,1977,422,0,586,73,3
25,bekmakhanov_1977,1954–1984,1977,427,0,526,67,2
26,bekmakhanov_1977,1954–1984,1977,431,0,406,56,2
27,bekmakhanov_1977,1954–1984,1977,432,0,488,53,2
28,bekmakhanov_1977,1954–1984,1977,486,0,502,72,2
29,berkhin_1972,1954–1984,1972,43,0,383,52,2
30,berkhin_1972,1954–1984,1972,58,0,218,26,2
31,berkhin_1972,1954–1984,1972,81,0,291,32,2
32,berkhin_1972,1954–1984,1972,87,0,509,66,4
33,berkhin_1972,1954–1984,1972,88,0,597,80,2
34,berkhin_1972,1954–1984,1972,89,0,237,31,2
35,berkhin_1972,1954–1984,1972,99,0,592,76,4
36,berkhin_1972,1954–1984,1972,124,1,692,100,2
37,berkhin_1972,1954–1984,1972,147,0,741,87,2
38,berkhin_1980,1954–1984,1980,21,0,551,67,2
39,kasimenko_1965,1954–1984,1965,194,0,425,55,4
40,kasimenko_1965,1954–1984,1965,194,1,473,63,2
41,kasimenko_1965,1954–1984,1965,217,0,484,66,2
42,kasimenko_1965,1954–1984,1965,222,0,459,60,2
43,kasimenko_1965,1954–1984,1965,224,1,224,38,2
44,kasimenko_1965,1954–1984,1965,234,1,568,85,2
45,kasimenko_1965,1954–1984,1965,239,0,399,56,4
46,kasimenko_1965,1954–1984,1965,239,1,159,21,2
47,kasimenko_1965,1954–1984,1965,240,0,352,48,4
48,kasimenko_1965,1954–1984,1965,241,0,509,69,6
49,kasimenko_1965,1954–1984,1965,242,0,516,72,8
50,kasimenko_1965,1954–1984,1965,242,1,102,15,2
51,kasimenko_1965,1954–1984,1965,269,0,329,45,4
52,kasimenko_1965,1954–1984,1965,269,1,576,91,4
53,kasimenko_1965,1954–1984,1965,290,0,389,53,2
54,kasimenko_1965,1954–1984,1965,296,0,410,61,4
55,kasimenko_1965,1954–1984,1965,296,1,124,17,2
56,kasimenko_1965,1954–1984,1965,330,2,161,23,2
57,kasimenko_1965,1954–1984,1965,354,1,102,18,2
58,kasimenko_1965,1954–1984,1965,355,0,945,124,2
59,kasimenko_1965,1954–1984,1965,429,0,347,51,2
60,kasimenko_1965,1954–1984,1965,498,0,447,72,2
61,kasimenko_1965,1954–1984,1965,519,0,359,47,2
62,kasimenko_1965,1954–1984,1965,521,0,467,62,2
63,kasimenko_1965,1954–1984,1965,522,0,184,26,2
64,kasimenko_1965,1954–1984,1965,564,0,200,28,2
65,kasimenko_1965,1954–1984,1965,570,0,570,72,2
66,kasimenko_1965,1954–1984,1965,571,0,582,79,2
67,kasimenko_1965,1954–1984,1965,606,0,286,44,2
68,kasimenko_1965,1954–1984,1965,702,0,463,60,2
69,kasimenko_1965,1954–1984,1965,718,0,701,83,2
70,kasimenko_1965,1954–1984,1965,725,0,673,93,2
71,kasimenko_1965,1954–1984,1965,739,0,502,69,2
72,kasimenko_1965,1954–1984,1965,785,0,300,40,2
73,kasimenko_1965,1954–1984,1965,789,0,429,51,2
74,kasimenko_1965,1954–1984,1965,809,0,516,70,2
75,kasimenko_1965,1954–1984,1965,810,0,364,48,2
76,kasimenko_1965,1954–1984,1965,811,0,620,88,2
77,kasimenko_1965,1954–1984,1965,816,0,429,51,2
78,kasimenko_1965,1954–1984,1965,821,0,183,23,2
79,kasimenko_1965,1954–1984,1965,868,0,251,31,2
80,kasimenko_1965,1954–1984,1965,888,0,702,96,2
81,kasimenko_1965,1954–1984,1965,893,0,809,102,2
82,kasimenko_1965,1954–1984,1965,911,1,625,73,2
83,kasimenko_1965,1954–1984,1965,918,0,692,86,2
84,kasimenko_1965,1954–1984,1965,981,1,794,108,4
85,kasimenko_1965,1954–1984,1965,987,0,439,53,2
86,kasimenko_1965,1954–1984,1965,987,1,357,50,2
87,kasimenko_1965,1954–1984,1965,999,0,667,90,2
88,kasimenko_1965,1954–1984,1965,1027,1,858,116,2
89,kasimenko_1965,1954–1984,1965,1078,0,640,86,2
90,kasimenko_1965,1954–1984,1965,1102,0,285,38,2
91,kasimenko_1965,1954–1984,1965,1134,0,317,47,2
92,kasimenko_1965,1954–1984,1965,1142,1,802,101,3
93,kasimenko_1965,1954–1984,1965,1145,0,619,70,2
94,kasimenko_1965,1954–1984,1965,1149,0,373,48,2
95,kasimenko_1965,1954–1984,1965,1155,0,294,40,3
96,kasimenko_1965,1954–1984,1965,1155,1,285,42,6
97,kasimenko_1965,1954–1984,1965,1155,2,330,48,9
98,kasimenko_1965,1954–1984,1965,1162,0,805,85,4
99,kasimenko_1965,1954–1984,1965,1166,0,532,60,3
100,kasimenko_1965,1954–1984,1965,1167,0,602,70,3
101,kasimenko_1965,1954–1984,1965,1174,0,367,46,5
102,kasimenko_1965,1954–1984,1965,1175,0,573,71,4
103,kasimenko_1965,1954–1984,1965,1176,0,994,115,5
104,kasimenko_1965,1954–1984,1965,1177,0,522,55,3
105,kasimenko_1965,1954–1984,1965,1178,0,518,65,3
106,kasimenko_1965,1954–1984,1965,1178,1,505,58,2
107,kasimenko_1965,1954–1984,1965,1179,0,368,45,3
108,kasimenko_1965,1954–1984,1965,1183,0,584,74,2
109,kasimenko_1965,1954–1984,1965,1192,0,462,58,3
110,kasimenko_1965,1954–1984,1965,1194,0,719,86,2
111,kasimenko_1965,1954–1984,1965,1195,0,563,64,3
112,kasimenko_1965,1954–1984,1965,1198,0,716,92,4
113,kasimenko_1965,1954–1984,1965,1206,0,804,98,8
114,kasimenko_1965,1954–1984,1965,1208,0,380,52,6
115,kasimenko_1965,1954–1984,1965,1210,0,400,55,2
116,kasimenko_1965,1954–1984,1965,1214,0,787,84,2
117,kasimenko_1965,1954–1984,1965,1218,0,526,68,2
118,kasimenko_1965,1954–1984,1965,1221,0,245,33,3
119,kasimenko_1965,1954–1984,1965,1242,0,408,47,2
120,kasimenko_1965,1954–1984,1965,1243,0,791,89,3
121,kasimenko_1965,1954–1984,1965,1247,0,331,40,4
122,kasimenko_1965,1954–1984,1965,1255,0,916,108,2
123,kasimenko_1965,1954–1984,1965,1264,0,331,43,3
124,kasimenko_1965,1954–1984,1965,1265,0,840,110,10
125,kasimenko_1965,1954–1984,1965,1266,0,389,48,4
126,kasimenko_1965,1954–1984,1965,1266,2,184,26,6
127,kasimenko_1965,1954–1984,1965,1268,0,496,62,3
128,kasimenko_1965,1954–1984,1965,1269,0,589,58,3
129,kasimenko_1965,1954–1984,1965,1283,0,749,102,3
130,kasimenko_1965,1954–1984,1965,1313,1,259,34,3
131,kasimenko_1965,1954–1984,1965,1314,0,381,58,3
132,kasimenko_1965,1954–1984,1965,1346,0,540,80,8
