idx,doc_id,period,year,paragraph_idx,segment_idx,char_count,word_count,filter_score
0,golubeva_1986,1985-1999,1986,45,1,259,35,2
1,golubeva_1986,1985-1999,1986,78,0,732,101,2
2,golubeva_1986,1985-1999,1986,222,8,81,15,2
3,golubeva_1986,1985-1999,1986,228,0,293,43,2
4,golubeva_1986,1985-1999,1986,230,0,380,57,2
5,golubeva_1986,1985-1999,1986,248,0,374,55,2
6,golubeva_1986,1985-1999,1986,344,0,555,80,2
7,golubeva_1986,1985-1999,1986,344,1,381,52,2
8,golubeva_1986,1985-1999,1986,483,2,273,38,2
9,golubeva_1986,1985-1999,1986,543,0,208,33,2
10,golubeva_1986,1985-1999,1986,552,1,220,34,2
11,golubeva_1986,1985-1999,1986,553,0,304,43,2
12,golubeva_1986,1985-1999,1986,556,0,304,48,6
13,golubeva_1986,1985-1999,1986,571,2,318,45,2
14,golubeva_1986,1985-1999,1986,573,0,217,34,2
15,golubeva_1986,1985-1999,1986,579,0,222,32,2
16,golubeva_1986,1985-1999,1986,587,2,227,30,2
17,golubeva_1986,1985-1999,1986,592,0,406,55,2
18,golubeva_1986,1985-1999,1986,608,0,250,32,2
19,golubeva_1986,1985-1999,1986,609,0,510,73,2
20,golubeva_1986,1985-1999,1986,623,0,377,62,2
21,golubeva_1986,1985-1999,1986,669,1,424,65,3
22,golubeva_1986,1985-1999,1986,683,0,285,43,2
23,golubeva_1986,1985-1999,1986,776,1,331,49,2
24,golubeva_1986,1985-1999,1986,958,0,942,114,2
25,golubeva_1986,1985-1999,1986,1029,1,246,39,2
26,golubeva_1986,1985-1999,1986,1037,0,558,79,2
27,golubeva_1986,1985-1999,1986,1049,1,238,36,2
28,golubeva_1986,1985-1999,1986,1049,3,316,49,2
29,golubeva_1986,1985-1999,1986,1116,1,473,65,2
30,golubeva_1986,1985-1999,1986,1117,0,684,96,2
31,golubeva_1986,1985-1999,1986,1127,0,479,72,4
32,golubeva_1986,1985-1999,1986,1141,3,317,43,2
33,golubeva_1986,1985-1999,1986,1142,0,328,47,2
34,golubeva_1986,1985-1999,1986,1359,0,723,97,2
35,golubeva_1986,1985-1999,1986,1387,0,551,81,2
36,golubeva_1986,1985-1999,1986,1390,0,580,75,2
37,potseluev_1997,1985-1999,1997,6,0,1326,170,6
38,potseluev_1997,1985-1999,1997,12,5,228,34,3
39,potseluev_1997,1985-1999,1997,71,1,1241,148,2
40,potseluev_1997,1985-1999,1997,71,2,701,107,2
41,potseluev_1997,1985-1999,1997,100,1,177,24,2
42,potseluev_1997,1985-1999,1997,120,0,549,73,2
43,potseluev_1997,1985-1999,1997,136,0,666,88,4
44,potseluev_1997,1985-1999,1997,142,1,775,99,13
45,potseluev_1997,1985-1999,1997,153,2,329,42,2
46,potseluev_1997,1985-1999,1997,167,0,1096,169,6
47,potseluev_1997,1985-1999,1997,173,1,1275,155,2
48,potseluev_1997,1985-1999,1997,188,0,334,44,5
49,potseluev_1997,1985-1999,1997,192,0,562,67,3
50,potseluev_1997,1985-1999,1997,194,0,236,32,2
51,potseluev_1997,1985-1999,1997,212,0,225,27,2
52,potseluev_1997,1985-1999,1997,225,1,123,18,3
53,potseluev_1997,1985-1999,1997,237,1,574,82,3
54,potseluev_1997,1985-1999,1997,237,2,505,74,2
55,potseluev_1997,1985-1999,1997,238,1,1043,135,7
56,potseluev_1997,1985-1999,1997,239,0,818,115,4
57,potseluev_1997,1985-1999,1997,239,1,726,103,3
58,potseluev_1997,1985-1999,1997,243,0,583,83,3
59,potseluev_1997,1985-1999,1997,246,0,645,87,3
60,potseluev_1997,1985-1999,1997,246,2,586,78,2
61,potseluev_1997,1985-1999,1997,265,0,732,91,5
62,potseluev_1997,1985-1999,1997,265,1,616,83,2
63,potseluev_1997,1985-1999,1997,277,0,756,89,2
64,potseluev_1997,1985-1999,1997,287,1,574,75,5
65,potseluev_1997,1985-1999,1997,291,1,345,46,4
66,potseluev_1997,1985-1999,1997,308,2,528,72,2
67,potseluev_1997,1985-1999,1997,312,0,486,71,3
68,potseluev_1997,1985-1999,1997,314,0,1215,149,2
69,potseluev_1997,1985-1999,1997,322,1,175,23,2
70,potseluev_1997,1985-1999,1997,323,0,462,64,4
71,potseluev_1997,1985-1999,1997,323,1,499,79,8
72,potseluev_1997,1985-1999,1997,324,0,617,77,2
73,potseluev_1997,1985-1999,1997,325,0,1331,181,4
74,potseluev_1997,1985-1999,1997,329,0,362,50,2
75,potseluev_1997,1985-1999,1997,332,0,892,123,4
76,potseluev_1997,1985-1999,1997,333,0,467,68,2
77,potseluev_1997,1985-1999,1997,345,0,396,63,2
78,potseluev_1997,1985-1999,1997,383,0,955,125,2
79,potseluev_1997,1985-1999,1997,419,0,618,74,3
80,potseluev_1997,1985-1999,1997,421,0,1160,140,3
81,potseluev_1997,1985-1999,1997,421,1,475,66,3
82,potseluev_1997,1985-1999,1997,451,0,284,42,6
83,potseluev_1997,1985-1999,1997,452,0,286,40,3
84,potseluev_1997,1985-1999,1997,473,0,878,107,6
85,potseluev_1997,1985-1999,1997,473,1,723,85,3
86,potseluev_1997,1985-1999,1997,475,0,1096,148,7
87,potseluev_1997,1985-1999,1997,475,1,543,87,9
88,potseluev_1997,1985-1999,1997,481,0,782,98,4
89,potseluev_1997,1985-1999,1997,482,0,643,86,6
90,potseluev_1997,1985-1999,1997,482,1,635,82,5
91,potseluev_1997,1985-1999,1997,487,0,748,98,5
92,potseluev_1997,1985-1999,1997,488,0,747,92,11
93,potseluev_1997,1985-1999,1997,489,0,180,27,3
94,potseluev_1997,1985-1999,1997,491,1,1029,138,7
95,potseluev_1997,1985-1999,1997,492,1,637,80,6
96,potseluev_1997,1985-1999,1997,492,2,407,57,8
97,potseluev_1997,1985-1999,1997,492,3,723,103,4
98,potseluev_1997,1985-1999,1997,493,0,117,17,4
99,potseluev_1997,1985-1999,1997,494,0,627,77,5
100,potseluev_1997,1985-1999,1997,494,1,821,99,2
101,potseluev_1997,1985-1999,1997,496,0,731,94,3
102,potseluev_1997,1985-1999,1997,496,3,700,95,10
103,potseluev_1997,1985-1999,1997,498,0,386,49,7
104,potseluev_1997,1985-1999,1997,500,0,200,24,3
105,potseluev_1997,1985-1999,1997,507,0,128,18,4
106,potseluev_1997,1985-1999,1997,508,0,156,19,5
107,potseluev_1997,1985-1999,1997,509,0,164,17,3
108,potseluev_1997,1985-1999,1997,510,0,654,68,2
109,potseluev_1997,1985-1999,1997,515,0,1015,130,7
110,potseluev_1997,1985-1999,1997,517,0,156,17,3
111,potseluev_1997,1985-1999,1997,518,0,1283,165,3
112,potseluev_1997,1985-1999,1997,519,0,396,55,2
113,potseluev_1997,1985-1999,1997,520,0,671,87,2
114,potseluev_1997,1985-1999,1997,524,0,257,29,3
115,potseluev_1997,1985-1999,1997,525,0,733,102,3
116,potseluev_1997,1985-1999,1997,525,2,291,56,2
117,potseluev_1997,1985-1999,1997,526,0,879,113,2
118,potseluev_1997,1985-1999,1997,528,0,420,65,4
119,potseluev_1997,1985-1999,1997,530,0,317,48,4
120,potseluev_1997,1985-1999,1997,532,0,714,93,6
121,potseluev_1997,1985-1999,1997,536,0,792,115,5
122,potseluev_1997,1985-1999,1997,537,0,794,110,7
123,potseluev_1997,1985-1999,1997,539,0,937,138,6
124,potseluev_1997,1985-1999,1997,541,0,176,29,5
125,potseluev_1997,1985-1999,1997,542,0,173,20,4
126,potseluev_1997,1985-1999,1997,547,0,300,37,2
127,potseluev_1997,1985-1999,1997,549,0,354,52,6
128,potseluev_1997,1985-1999,1997,551,1,142,20,3
129,potseluev_1997,1985-1999,1997,551,2,112,19,2
130,potseluev_1997,1985-1999,1997,551,3,103,18,5
131,potseluev_1997,1985-1999,1997,552,1,184,20,2
132,potseluev_1997,1985-1999,1997,560,0,893,121,3
133,potseluev_1997,1985-1999,1997,563,0,903,125,2
134,potseluev_1997,1985-1999,1997,565,0,351,49,3
135,potseluev_1997,1985-1999,1997,568,0,289,39,4
136,potseluev_1997,1985-1999,1997,569,0,634,76,9
137,potseluev_1997,1985-1999,1997,569,1,579,81,2
138,potseluev_1997,1985-1999,1997,570,0,571,78,10
139,potseluev_1997,1985-1999,1997,571,0,106,16,3
140,potseluev_1997,1985-1999,1997,572,0,709,118,5
141,potseluev_1997,1985-1999,1997,573,0,573,71,8
142,potseluev_1997,1985-1999,1997,573,2,153,20,3
143,potseluev_1997,1985-1999,1997,574,0,824,110,12
144,potseluev_1997,1985-1999,1997,575,0,272,43,6
145,potseluev_1997,1985-1999,1997,575,2,406,60,2
146,potseluev_1997,1985-1999,1997,576,0,534,73,5
147,potseluev_1997,1985-1999,1997,577,0,864,116,3
148,potseluev_1997,1985-1999,1997,578,0,745,104,6
