file,original_chars,normalized_chars,reduction_pct,original_lines,normalized_lines,paragraphs,period
aleksandrov_1947.txt,228229,228647,-0.18,2,917,459,1947-1953
naan_1952.txt,72170,72427,-0.36,2,261,131,1947-1953
pancratova_1952.txt,914408,916922,-0.27,5,3987,1994,1947-1953
bekmakhanov_1977.txt,260295,261518,-0.47,3,1225,613,1954–1984
berkhin_1972.txt,69328,69528,-0.29,2,309,155,1954–1984
berkhin_1980.txt,24673,24794,-0.49,2,123,62,1954–1984
kasimenko_1965.txt,946801,953076,-0.66,2,6285,3143,1954–1984
los_1972.txt,946801,953076,-0.66,2,6285,3143,1954–1984
shemyakov_1982.txt,345542,347238,-0.49,2,1775,888,1954–1984
turlugulov_1974.txt,124331,125046,-0.58,3,725,363,1954–1984
golubeva_1986.txt,639228,642245,-0.47,2,3019,1510,1985-1999
potseluev_1997.txt,1003490,924276,7.89,20321,3691,1846,1985-1999
barsenkov_2010.txt,2383405,2300611,3.47,37549,1883,942,2000-2012
khromenkova_2012.txt,322623,307830,4.59,5067,441,221,2000-2012
ostrovsky_2001.txt,798475,774317,3.03,18081,1269,635,2000-2012
tereshenko_2010.txt,859619,859016,0.07,4128,3525,1763,2000-2012
volobuev_2010.txt,608876,605948,0.48,8051,5123,2562,2000-2012
glazunova_2020.txt,272331,254973,6.37,4633,451,226,2012-2023
kiselev_2013.txt,624459,622836,0.26,5563,3943,1972,2012-2023
medinskiy_2023.txt,819460,810093,1.14,30179,22893,11447,2012-2023
salfetnikov_2016.txt,176654,144374,18.27,4096,805,403,2012-2023
zemtsov_2013.txt,1282619,1282050,0.04,6980,6415,3208,2012-2023
